date,province,country,lat,long,type,cases
2020-01-24,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-01-25,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-01-26,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-01-27,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-01-28,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-01-29,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-01-30,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-01-31,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-01,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-02,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-03,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-04,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-05,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-06,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-07,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-08,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-09,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-10,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-11,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-12,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-13,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-14,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-15,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-16,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-17,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-18,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-19,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-20,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-21,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-22,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-23,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-24,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-25,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-26,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-27,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-28,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-02-29,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-01,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-02,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-03,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-04,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,1
2020-03-05,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-06,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-07,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-08,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,1
2020-03-09,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-10,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-11,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-12,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-03-13,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,1
2020-03-14,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,6
2020-03-15,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,2
2020-03-16,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,7
2020-03-17,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,29
2020-03-18,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,11
2020-03-19,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,14
2020-03-20,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,8
2020-03-21,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,12
2020-03-22,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,23
2020-03-23,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,3
2020-03-24,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,4
2020-03-25,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,10
2020-03-26,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,8
2020-03-27,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,4
2020-03-28,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,11
2020-03-29,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,4
2020-03-30,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,9
2020-03-31,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,1
2020-04-01,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,4
2020-04-02,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,4
2020-04-03,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,2
2020-04-04,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,2
2020-04-05,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-06,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,2
2020-04-07,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,1
2020-04-08,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-09,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-10,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-11,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-12,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-13,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-14,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-15,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-16,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-17,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-18,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-19,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,1
2020-04-20,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-21,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-22,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-23,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,2
2020-04-24,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-25,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-26,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-27,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-28,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-29,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-04-30,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-01,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-02,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-03,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-04,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-05,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-06,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-07,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-08,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-09,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-10,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-11,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-12,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-13,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-14,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-15,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-16,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-17,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-18,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-19,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-20,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-21,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-22,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-23,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-24,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-25,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-26,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-27,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-28,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-29,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-30,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-05-31,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-01,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-02,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-03,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-04,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-05,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-06,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-07,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-08,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-09,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-10,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-11,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-12,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-13,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-14,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-15,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-16,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
2020-06-17,Faroe Islands,Denmark,61.8926,-6.9118,confirmed,0
