"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
1999,1,11,13,247,8.3,11,0.83,10,4.52,999,1014.2,-2.7,4.7,999,99
1999,1,11,14,260,8,10.9,0.87,10,4.27,999,1014.8,-3,4.7,999,99
1999,1,11,15,275,7.7,10.3,0.86,10,4.17,999,1015.5,-3.4,4.7,999,99
1999,1,11,16,271,7.6,10.3,0.86,10,4.36,999,1015.7,-3.3,4.7,999,99
1999,1,11,17,265,7.3,9.3,0.84,11.11,4.29,999,1015.6,-3.4,4.7,999,99
1999,1,11,18,270,7.8,12.2,0.87,11.11,4.64,999,1015.6,-3.8,4.7,999,99
1999,1,11,19,271,9.6,13.2,1.02,11.11,4.36,999,1015.6,-3.5,4.7,999,99
1999,1,11,20,269,10.1,12.6,1,3.85,4.16,999,1016.5,-3.5,4.7,999,99
1999,1,11,21,273,9.7,11.7,1.06,11.11,4.22,999,1017.5,-3.4,4.7,999,99
1999,1,11,22,284,9.9,13.4,1.05,11.11,4.28,999,1018.4,-3.9,4.7,999,99
1999,1,11,23,271,9.6,12.7,1.12,11.11,4.46,999,1019.9,-4.1,4.6,999,99
1999,1,12,0,279,9.4,11.8,1.08,11.11,4.56,999,1020.8,-4.7,4.6,999,99
1999,1,12,1,273,8.5,10.8,0.86,10,3.95,999,1021.1,-5.1,4.4,999,99
1999,1,12,2,270,6.8,10.3,0.8,11.11,4.18,999,1021.9,-5.5,4.4,999,99
1999,1,12,3,267,3.7,6,0.7,11.11,5.2,999,1022,-5.8,4.4,999,99
1999,1,12,4,225,4.6,6.2,0.69,11.11,6.82,999,1021.9,-5.6,4.4,999,99
1999,1,12,5,196,5.4,6.9,0.69,11.11,8.71,999,1021.2,-5.8,4.4,999,99
1999,1,12,6,194,5.8,7.2,0.65,10,8.35,999,1020.7,-5.5,4.4,999,99
1999,1,12,7,187,5.3,7.2,0.49,11.11,7.91,999,1019.5,-5.3,4.4,999,99
1999,1,12,8,174,7.7,9.9,0.51,11.11,7.37,999,1018.1,-4.4,4.4,999,99
1999,1,12,9,166,9.1,10.8,0.66,11.11,3.72,999,1016.6,-3.5,4.4,999,99
